root,pos,common
premio,N,False
preni,misc,True
prepari,misc,True
presi,misc,True
preskaŭ,misc,True
preta,A,True
preter,misc,False
prezo,N,False
prezenti,misc,True
prezidi,misc,True
pri,misc,True
principo,N,False
printempo,N,True
pro,N,True
problemo,N,True
produkti,misc,True
profunda,A,False
programo,N,False
progresi,VI,False
projekto,N,False
proksima,A,True
promeni,VI,False
promesi,misc,False
proponi,misc,False
propra,A,True
provi,misc,True
prunte,misc,False
publiko,N,True
puni,misc,False
punkto,N,False
pupo,N,False
pura,A,True
puŝi,misc,False
rado,N,False
radio,N,True
rajto,N,True
rakonti,misc,True
rando,N,False
rango,N,False
rapida,A,True
raporti,misc,True
re-,pre,True
redakti,misc,True
regi,misc,False
regiono,N,True
regulo,N,True
reĝo,N,False
reklamo,N,False
rekomendi,misc,True
rekta,A,False
religio,N,False
renkonti,misc,True
respondi,misc,True
resti,misc,True
revuo,N,True
rezulti,VI,False
ricevi,misc,True
riĉa,A,True
ridi,misc,True
rigardi,misc,True
rilati,misc,True
rimarki,misc,True
rimedo,N,False
ripeti,misc,True
ripozi,VI,False
rivero,N,True
rizo,N,False
robo,N,False
romano,N,False
rompi,misc,True
rondo,N,False
rozo,N,False
rubriko,N,False
ruĝa,A,False
rulo,N,False
sabato,N,True
saĝa,A,False
sako,N,False
salo,N,False
salono,N,True
salti,VI,False
saluti,misc,True
sana,A,True
sango,N,False
sankta,A,False
sata,A,False
savi,misc,False
scii,misc,True
scienco,N,True
se,misc,True
sed,misc,True
seĝo,N,True
seka,A,False
sekretario,N,False
sekso,N,False
sekvi,misc,True
semajno,N,True
sen,misc,True
senco,N,False
sendi,misc,True
senti,misc,True
sep,misc,True
septembro,N,True
serĉi,misc,True
serio,N,False
serioza,A,False
servi,misc,True
ses,misc,True
sezono,N,False
si,misc,True
sidi,misc,True
signo,N,False
signifi,misc,True
silenti,VI,False
simila,A,True
simpla,A,True
sinjoro,N,True
sistemo,N,False
situacio,N,True
skatolo,N,True
skribi,misc,True
socio,N,False
soifi,misc,False
sola,A,True
soldato,N,False
solvi,misc,False
somero,N,True
soni,misc,True
speco,N,False
speciala,A,True
spegulo,N,False
sperta,A,True
spezo,N,False
spico,N,False
spiri,misc,False
spirito,N,False
sporto,N,True
stacio,N,True
stari,misc,True
stato,N,False
stelo,N,False
stranga,A,False
strato,N,True
streĉi,misc,False
studi,misc,True
stulta,A,False
sub,misc,True
subita,A,False
sudo,N,False
suferi,misc,False
sufiĉa,A,True
sukcesi,misc,True
sukero,N,False
sumo,N,False
suno,N,True
super,misc,True
supozi,misc,False
supre,misc,True
sur,misc,True
ŝafo,N,False
ŝajni,misc,True
ŝanco,N,False
ŝanĝi,misc,True
ŝati,misc,True
ŝerci,VI,False
ŝi,misc,True
ŝipo,N,True
ŝiri,misc,False
ŝlosi,misc,False
ŝnuro,N,False
ŝranko,N,True
ŝtato,N,True
ŝteli,misc,False
ŝtofo,N,False
ŝtono,N,False
ŝtrumpo,N,False
ŝtupo,N,False
ŝuo,N,False
tablo,N,True
tabulo,N,False
tago,N,True
tamen,misc,True
taso,N,False
tasko,N,False
taŭgi,VI,False
teo,N,False
teatro,N,True
tegmento,N,False
teksto,N,False
telefono,N,True
telero,N,False
televido,N,True
temo,N,True
tempo,N,True
teni,misc,True
teorio,N,False
tero,N,True
teruro,N,False
tia,A,True
tial,misc,True
tiam,misc,True
tie,misc,True
tiel,misc,True
ties,misc,True
tiom,misc,True
timi,misc,True
tio,N,True
tiri,misc,False
tiu,misc,True
tondi,misc,False
tra,A,True
tradicio,N,False
traduki,misc,True
trafi,misc,False
trakti,misc,False
tranĉi,misc,True
trankvila,A,False
trans,misc,True
tre,misc,True
tri,misc,True
trinki,misc,True
tro,N,True
trovi,misc,True
truo,N,False
tuj,misc,True
tuko,N,False
turismo,N,False
turisto,N,False
turni,misc,False
